ID;Pos;Player;Team;Eligible;Status;Opponent;Fantasy Points;Average Fantasy Points per Game;GP;GS;3PTM;3PTA;3PT%;FTM;FTA;OREB;DREB;2DO;3D;PF;TF;FF;EJ
*049ka*;PG;Lonzo Ball;CHI;PG,SG,G,Flx;IR;PHO<br/>Mon 8:00PM;802;24.3;33;33;3.2;7.5;.421;0.6;0.8;0.9;4.5;2;1;2.3;0;0;0
*051oh*;PF;Zion Williamson;NO;PF,F,Flx;IR;;0;0;;;0;0;0;0;0;0;0;;;0;;;
*05qt9*;PG;Killian Hayes;DET;PG,SG,G,Flx;-;;0;0;;;0;0;0;0;0;0;0;;;0;;;
*04qsm*;PG;De'Anthony Melton;MEM;PG,SG,G,Flx;-;;23.1;11.55;2;0;1.5;4.5;.333;0.5;2.0;1.0;2.0;0;0;1.0;0;0;0
*03al1*;PG;Marcus Smart;BOS;PG,SG,G,Flx;-;;348.9;19.38;18;18;1.4;4.5;.309;1.9;2.3;0.8;3.1;0;0;2.9;1;1;0
*051on*;PG;Coby White;CHI;PG,SG,G,Flx;-;PHO<br/>Mon 8:00PM;158.2;19.78;8;5;2.0;6.6;.302;2.3;2.5;0.8;3.3;0;0;2.4;2;0;0
*042ne*;SG;Malik Beasley;MIN;PG,SG,G,Flx;-;;27.6;13.8;2;0;0.5;2.5;.200;0.0;1.0;0.0;2.0;0;0;0.5;0;0;0
*03e6z*;SG;Joe Harris;BKN;SG,G,SF,F,Flx;-;;0;0;;;0;0;0;0;0;0;0;;;0;;;
*051ps*;SG;Terance Mann;LAC;SG,G,SF,F,Flx;-;;152.6;16.96;9;9;1.4;3.0;.481;0.9;1.3;1.2;3.1;1;0;1.9;0;0;0
*04qs1*;SG;Anfernee Simons;POR;PG,SG,G,Flx;-;;0.1;0.1;1;1;0.0;2.0;.000;0.0;0.0;0.0;0.0;0;0;1.0;0;0;0
*05uif*;SG;Jalen Suggs;ORL;PG,SG,G,Flx;-;;0;0;;;0;0;0;0;0;0;0;;;0;;;
*05ujt*;SG;Aaron Wiggins;OKC;PG,SG,G,Flx;-;GS<br/>Mon 8:00PM;12.7;12.7;1;1;2.0;3.0;.667;0.0;0.0;0.0;6.0;0;0;5.0;0;0;0
*03aq3*;SF;Kyle Anderson;MEM;SF,PF,F,C,Flx;-;;32.4;16.2;2;1;1.0;1.0;1.000;1.0;1.0;2.0;2.5;0;0;0.5;0;0;0
*05uie*;SF;Scottie Barnes;TOR;SF,PF,F,Flx;-;@CHA<br/>Mon 7:00PM;573.2;26.05;22;22;0.8;2.3;.340;2.2;2.9;2.8;5.0;3;0;2.8;2;0;0
*0011e*;SF;LeBron James;LAL;PG,SG,G,SF,PF,F,Flx;-;;633.8;35.21;18;18;2.8;7.8;.357;3.6;4.7;0.7;5.5;5;2;2.2;0;2;1
*03nwk*;SF;Kelly Oubre Jr.;CHA;SG,G,SF,F,Flx;-;TOR<br/>Mon 7:00PM;5.1;2.55;2;0;0.0;3.0;.000;0.0;0.0;1.5;1.0;0;0;3.0;0;0;0
*049ki*;PF;Marvin Bagley;SAC;PF,F,C,Flx;-;;0;0;;;0;0;0;0;0;0;0;;;0;;;
*04fj8*;PF;Chris Boucher;TOR;PF,F,C,Flx;-;@CHA<br/>Mon 7:00PM;35.7;17.85;2;0;0.0;1.5;.000;4.0;4.0;1.5;5.0;0;0;2.0;0;0;0
*051ow*;PF;Chuma Okeke;ORL;PF,F,Flx;-;;30.2;15.1;2;2;1.0;8.0;.125;0.0;0.0;0.0;3.0;0;0;3.0;0;0;0
*03nwq*;PF;Christian Wood;HOU;PF,F,C,Flx;-;;727.1;26.93;27;27;1.6;4.7;.344;2.4;4.2;1.9;9.2;15;0;2.6;2;0;0
*031lz*;C;Steven Adams;MEM;C,Flx;-;;10.2;10.2;1;1;0.0;0.0;0;2.0;6.0;3.0;6.0;0;0;2.0;1;0;0
*031m0*;C;Kelly Olynyk;DET;PF,F,C,Flx;-;;39.2;19.6;2;0;2.0;5.0;.400;1.5;3.0;2.0;5.5;1;0;3.0;0;0;0
;Totals;;;;;;10422.8;24.82;420;405;1.7;4.8;.353;2.8;3.7;1.2;5.1;82;4;2.3;37;4;6
